image_id,person,person_score,logo,logo_score,game,game_score,label,confidence,saved_image,person_box_count,person_area_ratio,logo_area_ratio,ocr_text_len
1,1,0.8414,0,0.2915,0,0.0,person,0.8414,1_person_0.8414.png,1,0.6712,0.0338,0
2,1,0.8838,0,0.2288,0,0.0,unknown,0.0,2_unknown_0.0000.png,2,0.1589,0.1793,0
3,0,0.0,1,0.65,0,0.0,unknown,0.0,3_unknown_0.0000.png,0,0.0,0.4816,0
4,0,0.0,0,0.234,0,0.0,unknown,0.0,4_unknown_0.0000.png,0,0.0,0.0398,0
5,0,0.0,1,0.64,0,0.0,unknown,0.0,5_unknown_0.0000.png,0,0.0,0.9228,0
6,0,0.0,0,0.4615,0,0.0,unknown,0.0,6_unknown_0.0000.png,0,0.0,0.9331,0
7,0,0.0,0,0.4615,0,0.0,unknown,0.0,7_unknown_0.0000.png,0,0.0,0.9195,0
8,0,0.0,1,0.64,0,0.0,unknown,0.0,8_unknown_0.0000.png,0,0.0,0.9373,0
9,0,0.0,1,0.71,0,0.0,logo,0.71,9_logo_0.7100.png,0,0.0,0.4667,0
10,1,0.9157,0,0.2288,0,0.0,person,0.9157,10_person_0.9157.png,2,0.2773,0.3279,0
11,1,0.8947,0,0.1645,0,0.0,person,0.8947,11_person_0.8947.png,1,0.814,0.9683,0
12,0,0.0,0,0.104,0,0.0,unknown,0.0,12_unknown_0.0000.png,0,0.0,0.0,0
13,1,0.9396,0,0.1573,0,0.0,person,0.9396,13_person_0.9396.png,1,0.466,0.0,0
14,0,0.0,0,0.47,0,0.0,unknown,0.0,14_unknown_0.0000.png,0,0.0,0.0,0
15,1,0.9152,0,0.3135,0,0.0,person,0.9152,15_person_0.9152.png,1,0.5443,0.0124,0
16,0,0.0,0,0.338,0,0.0,unknown,0.0,16_unknown_0.0000.png,0,0.0,0.0657,0
17,0,0.0,0,0.416,0,0.0,unknown,0.0,17_unknown_0.0000.png,0,0.0,0.1864,0
19,0,0.0,0,0.416,0,0.0,unknown,0.0,19_unknown_0.0000.png,0,0.0,0.0369,0
21,1,0.9139,0,0.1487,0,0.0,unknown,0.0,21_unknown_0.0000.png,1,0.1507,0.3797,0
22,1,0.925,0,0.352,0,0.0,unknown,0.0,22_unknown_0.0000.png,2,0.0506,0.0368,0
23,1,0.8977,0,0.352,0,0.0,unknown,0.0,23_unknown_0.0000.png,1,0.0846,0.0986,0
24,1,0.8495,0,0.2288,0,0.0,unknown,0.0,24_unknown_0.0000.png,1,0.0683,0.0738,0
25,0,0.0,0,0.468,0,0.0,unknown,0.0,25_unknown_0.0000.png,0,0.0,0.0375,0
26,0,0.0,0,0.416,0,0.0,unknown,0.0,26_unknown_0.0000.png,0,0.0,0.0376,0
27,0,0.0,0,0.3315,0,0.0,unknown,0.0,27_unknown_0.0000.png,0,0.0,0.0272,0
28,0,0.0,0,0.2925,0,0.0,unknown,0.0,28_unknown_0.0000.png,0,0.0,0.0,0
32,0,0.0,0,0.533,0,0.0,unknown,0.0,32_unknown_0.0000.png,0,0.0,0.0818,0
34,0,0.0,0,0.3445,0,0.0,unknown,0.0,34_unknown_0.0000.png,0,0.0,0.0,0
35,0,0.0,0,0.2925,0,0.0,unknown,0.0,35_unknown_0.0000.png,0,0.0,0.0,0
36,0,0.0,0,0.2925,0,0.0,unknown,0.0,36_unknown_0.0000.png,0,0.0,0.0,0
37,0,0.0,0,0.585,0,0.0,unknown,0.0,37_unknown_0.0000.png,0,0.0,0.0261,0
38,0,0.0,1,0.95,0,0.0,logo,0.95,38_logo_0.9500.png,0,0.0,0.1023,0
117,1,0.6658,0,0.1823,0,0.0,person,0.6658,117_person_0.6658.png,1,0.4905,0.018,0
118,0,0.0,0,0.36,0,0.0,unknown,0.0,118_unknown_0.0000.png,0,0.0,0.0652,0
121,1,0.8693,0,0.253,0,0.0,person,0.8693,121_person_0.8693.png,4,0.3115,0.0407,0
125,1,0.9487,0,0.352,0,0.0,person,0.9487,125_person_0.9487.png,2,0.3099,0.5801,0
126,1,0.7505,0,0.209,0,0.0,person,0.7505,126_person_0.7505.png,1,0.6486,0.0,0
128,0,0.0,0,0.37,0,0.0,unknown,0.0,128_unknown_0.0000.png,0,0.0,0.9387,0
129,1,0.8666,0,0.352,0,0.0,person,0.8666,129_person_0.8666.png,1,0.3207,0.0417,0
130,0,0.0,0,0.52,0,0.0,unknown,0.0,130_unknown_0.0000.png,0,0.0,0.0,0
131,0,0.0,1,0.64,0,0.0,unknown,0.0,131_unknown_0.0000.png,0,0.0,0.0,0
140,0,0.0,0,0.49,0,0.0,unknown,0.0,140_unknown_0.0000.png,0,0.0,0.9965,0
147,0,0.0,0,0.117,0,0.0,unknown,0.0,147_unknown_0.0000.png,0,0.0,0.0,0
158,0,0.0,0,0.3965,0,0.0,unknown,0.0,158_unknown_0.0000.png,0,0.0,0.0326,0
161,0,0.0,1,0.64,0,0.0,unknown,0.0,161_unknown_0.0000.png,0,0.0,0.1627,0
162,1,0.7936,0,0.352,0,0.0,person,0.7936,162_person_0.7936.png,4,0.5853,0.2177,0
163,0,0.0,0,0.39,0,0.0,unknown,0.0,163_unknown_0.0000.png,0,0.0,0.0,0
164,0,0.0,0,0.32,0,0.0,unknown,0.0,164_unknown_0.0000.png,0,0.0,0.0,0
167,1,0.8859,0,0.242,0,0.0,person,0.8859,167_person_0.8859.png,2,0.2021,0.0,0
168,0,0.0,0,0.5135,0,0.0,unknown,0.0,168_unknown_0.0000.png,0,0.0,0.2486,0
170,1,0.6801,0,0.093,0,0.0,unknown,0.0,170_unknown_0.0000.png,1,0.0774,0.0,0
171,0,0.0,0,0.299,0,0.0,unknown,0.0,171_unknown_0.0000.png,0,0.0,0.5342,0
172,0,0.0,0,0.56,0,0.0,unknown,0.0,172_unknown_0.0000.png,0,0.0,0.0,0
174,0,0.0,0,0.377,0,0.0,unknown,0.0,174_unknown_0.0000.png,0,0.0,0.2755,0
176,1,0.7806,0,0.165,0,0.0,person,0.7806,176_person_0.7806.png,1,0.3059,0.3871,0
177,0,0.0,0,0.2535,0,0.0,unknown,0.0,177_unknown_0.0000.png,0,0.0,0.1136,0
178,0,0.0,0,0.59,0,0.0,unknown,0.0,178_unknown_0.0000.png,0,0.0,0.2522,0
179,0,0.0,0,0.2665,0,0.0,unknown,0.0,179_unknown_0.0000.png,0,0.0,0.4625,0
180,0,0.0,0,0.1479,0,0.0,unknown,0.0,180_unknown_0.0000.png,0,0.0,0.2231,0
181,1,0.932,0,0.093,0,0.0,unknown,0.0,181_unknown_0.0000.png,1,0.1231,0.0,0
182,1,0.4675,0,0.1859,0,0.0,unknown,0.0,182_unknown_0.0000.png,1,0.9797,0.4386,0
183,1,0.9135,0,0.1645,0,0.0,unknown,0.0,183_unknown_0.0000.png,1,0.1283,0.8991,0
184,0,0.0,0,0.2145,0,0.0,unknown,0.0,184_unknown_0.0000.png,0,0.0,0.0,0
185,1,0.8129,0,0.1502,0,0.0,person,0.8129,185_person_0.8129.png,1,0.2273,0.6891,0
186,0,0.0,0,0.416,0,0.0,unknown,0.0,186_unknown_0.0000.png,0,0.0,0.021,0
187,0,0.0,1,0.84,0,0.0,logo,0.84,187_logo_0.8400.png,0,0.0,0.0319,0
188,0,0.0,1,0.7,0,0.0,logo,0.7,188_logo_0.7000.png,0,0.0,0.9726,0
190,0,0.0,0,0.38,0,0.0,unknown,0.0,190_unknown_0.0000.png,0,0.0,0.0,0
191,0,0.0,0,0.44,0,0.0,unknown,0.0,191_unknown_0.0000.png,0,0.0,0.0,0
